,theta,k,delta.prop,theta_trt,DNN_power,t_power,wil_power,MMD_power,LRT_power,DNN_validation_hour
1,1,0.2,0,1,0.049515,0.049727,0.048182,0.0448,0.050119,0.063039106
2,1,0.2,0.8,1.044378447,0.761842,0.309889,0.291923,0.1131,0.677156,0.063429534
3,1,0.2,1,1.055473059,0.899133,0.415402,0.387222,0.1496,0.832881,0.063661109
4,1,0.2,1.1,1.061020365,0.936732,0.470912,0.436954,0.178,0.880497,0.063630381
5,1,0.8,0,1,0.047372,0.049588,0.048078,0.0461,0.049797,0.063634573
6,1,0.8,0.8,1.177513788,0.874702,0.283801,0.260694,0.1245,0.877347,0.063709254
7,1,0.8,1,1.221892235,0.947222,0.370912,0.335044,0.175,0.947166,0.062885582
8,1,0.8,1.1,1.244081458,0.965697,0.415718,0.373366,0.2091,0.965275,0.06286734
9,5,0.2,0,5,0.048227,0.050064,0.048432,0.0496,0.049575,0.062985354
10,5,0.2,0.8,5.221892235,0.801665,0.310003,0.292403,0.1082,0.67722,0.064193071
11,5,0.2,1,5.277365294,0.913357,0.414796,0.385964,0.1483,0.833422,0.063098175
12,5,0.2,1.1,5.305101823,0.944758,0.47124,0.437177,0.1707,0.880277,0.063107014
13,5,0.8,0,5,0.048786,0.049593,0.048095,0.0484,0.049843,0.063066302
14,5,0.8,0.8,5.88756894,0.879897,0.282629,0.26014,0.1257,0.877249,0.064036181
15,5,0.8,1,6.109461175,0.950457,0.37018,0.334668,0.1754,0.947197,0.063257753
16,5,0.8,1.1,6.220407292,0.967805,0.415749,0.373441,0.2006,0.965045,0.063785553
