,mu,sd,delta.prop,mu_trt,DNN_power,t_power
1,-0.5,1,0,-0.5,0.050295,0.05043
2,-0.5,1,0.8,-0.102164022316098,0.629905,0.630473
3,-0.5,1,1,-0.00270502789512256,0.794845,0.795227
4,-0.5,1,1.2,0.0967539665258529,0.905738,0.905949
5,-0.5,1.5,0,-0.5,0.049832,0.050044
6,-0.5,1.5,0.8,0.0967539665258529,0.628748,0.629735
7,-0.5,1.5,1,0.245942458157316,0.794014,0.794766
8,-0.5,1.5,1.2,0.395130949788779,0.906102,0.906542
9,0,1,0,0,0.050112,0.050229
10,0,1,0.8,0.397835977683902,0.630119,0.630571
11,0,1,1,0.497294972104877,0.794315,0.794638
12,0,1,1.2,0.596753966525853,0.906099,0.906326
13,0,1.5,0,0,0.049667,0.049797
14,0,1.5,0.8,0.596753966525853,0.628153,0.629083
15,0,1.5,1,0.745942458157316,0.795103,0.795889
16,0,1.5,1.2,0.895130949788779,0.905682,0.90624
